date,company,writer,title,classification1,classification2,classification3,contents
20200801,YTN,나연수,"민주당 당 대표 후보들, 부울경 찾아 재보선 공방",정치>국회_정당,정치>선거,,더불어민주당 당 대표에 도전한 세 후보가 부산·울산·경남 대의원대회에서 내년 서울·부산시장 재보궐 선거를 두고 신경전을 벌였습니다. .. ..오늘 오전 경남 창원컨벤션센터에서 열린 대의원대회에서 이낙연 후보는 지도부 교체 이후 넉 달을 잘 해야 문재인 정부가 성공할 수 있다며 코로나19국난극복위원장으로서 경험과 성과를 살려 한국판 뉴딜을 성공 시키겠다고..
20200801,아시아경제,김현정,[위크리뷰]2분기 바닥론 솔솔…-3.3% 역성장 딛고 '트리플 반등',경제>무역,경제>반도체,경제>취업_창업,"[세종=아시아경제 김현정 기자] 국내 경기가 올해 2·4분기를 바닥으로 회복세로 돌아설 것이라는 기대감이 커지고 있다... 2분기 ..-3.3% 역성장은 금융위기 당시인 2008년 4분기 보다도 나쁜 성적이지만, 신종 코로나바이러스(코로나19)에 타격을 입은 글로벌 국가들과 비교하면 그나마 선방했다는 평가도 나온다... 정부는 3분기 본격적인 반등을 위.."
20200801,아주경제,전환욱,[민주당 8·29 전대] 이낙연 위기 극복 경험 살려 국난 극복·뉴딜 성공시킬 것,정치>국회_정당,정치>선거,정치>청와대,더불어민주당 8·29 전당대회 당 대표 선거에 출마한 이낙연 후보가 총리 재임 시절과 국난극복위원장 경험을 언금하며 ..경험과 성과를 살려서 국난을 극복하고 한국판 뉴딜을 성공시키겠다고 밝혔다... .. .. .. ..1일 경상남도 창원 컨벤션센터 컨벤션홀에서 열린 민주당 경남도당 대의원대회에서 이 후보는 이같이 말하고 ..저는 국가적 재난을 극복..
20200802,머니투데이,박가영|기자|,부울경 찾은 민주당…이낙연 리더십·김부겸 지역주의 극복·박주민 개혁,정치>국회_정당,정치>선거,정치>청와대,"[머니투데이 박가영 기자] .. ..더불어민주당 당권주자들이 1일 부산·울산·경남(PK) 지역을 찾았다... 후보들은 자신이 당대표 적임자임을 내세우며 지지를 호소했다. .. ..이날 오전 경남 창원시 창원컨벤션센터에서 열린 민주당 경남 합동연설회에서 이낙연 후보는 ..'위기의 리더십'을, 김부겸 후보는 ..'지역주의 타파'를, 박주민 후보는 ..'개혁.."
20200802,조선일보,주희연 기자,이낙연 코로나 국난 극복 김부겸 지역주의 타파 박주민 당 개혁,정치>국회_정당,정치>선거,정치>청와대,"더불어민주당 당 대표 선거에 나서는 이낙연·김부겸·박주민 후보가 1일 부산·울산·경남(PK) 지역 합동연설회에서 지지를 호소했다... 이 후보는 ..‘코로나 위기 극복’, 김 후보는 ..‘지역주의 타파’, 박 후보는 ..‘당 개혁’을 강조했다... 민주당 당 대표 선거는 이달 29일 실시된다. .. .. ..이낙연 후보는 이날 연설 첫 주자로 나섰다..."
20200802,경향신문,로렌스 투비아나 유럽기후재단 대표,"[기고] 기후변화 대응, 한국이 좋은 동반자가 되려면",,,,"지난 6월 한국과 유럽연합(EU) 정상들이 코로나19 이후 기후변화 문제에 함께 대응하자고 결의했다는 소식을 들었다... 양측의 전략적 동반자 관계 10주년을 기념하는 화상회의 자리였다... 이날 문재인 대통령과 우르줄라 폰데어라이엔 EU 집행위원장, 샤를 미셸 상임의장은 ..“파리협약의 완전하고, 신속하며, 효과적인 이행을 위한 강한 의지”를 확인했다.."
20200802,머니투데이,서진욱 |기자,윤희숙·조정훈의 '사이다' 발언… 야당 '존재감' 살렸다,정치>국회_정당,정치>행정_자치,정치>선거,[머니투데이 서진욱 기자] ..[[the300]] .. .. 윤희숙 미래통합당 의원(왼쪽)과 조정훈 시대전환 의원... ../사진=뉴시스. .. ..7월 임시국회에서 제1야당인 미래통합당은 무기력했다... 더불어민주당의 의회 독주 속 범여권으로 분류되는 야당들의 존재감은 희미했다. .. ..야권이 묻힌 국회에서 빛난 의원들이 있다... 초선인 윤희숙 미..
20200802,아주경제,전환욱,[민주당 8·29 전대] 김부겸 재보궐이 당 위기 최정점…당대표 책임 반드시 완수,정치>선거,정치>국회_정당,정치>청와대,"더불어민주당 8·29 전당대회 당 대표 선거에 출마한 김부겸 후보가 ..2년 당 대표의 무거운 책임, 반드시 완수하겠다고 밝혔다... .. .. .. ..1일 경상남도 창원 컨벤션센터 컨벤션홀에서 열린 민주당 경남도당 대의원대회에서 김 후보는 ..지금 누구나 우리당의 위기를 말한다... 자기가 위기 극복의 적임자라고 말한다며 ..위기의 정점은 .."
20200802,경인일보,김태성,미래가 기대되는 도시' 화성시가 꿈꾸는 그린뉴딜은,지역>충남,지역>경기,경제>취업_창업,"2025년 화성시 송산그린시티에서 출발한 친환경 수소전기차가 자율주행으로, 화옹지구를 향해 달린다... 화옹지구는 한때 토목 개발 논리에 떠밀려 군 공항 이전 지역이 될 뻔한 우여곡절()을 겪었지만, 명실상부한 국내 최대 규모의 시설농업 지역이다... .. .. .. ..동탄신도시는 물론 향남과 남양 등에서도 무상교통을 통해 시민들이 비용을 들이지 않.."
20200803,서울신문,김채현,PK찾은 당권 주자들…이낙연-김부겸 ‘보궐선거 공천’ 쟁점,정치>국회_정당,정치>선거,정치>청와대,"더불어민주당 8·29 전당대회에 출마한 당권주자들이 1일 PK를 찾았다. ..이날 오후 창원시 창원컨벤션센터에서 열린 민주당 경남 합동연설회에서 이낙연 후보는 ..‘남은 4개월’의 시간에, 김부겸 후보는 ..‘내년 4월 재보궐선거’에, 박주민 후보는 ..‘주어진 2년의 시간’을 강조했다. ..이낙연, ..‘위기의 리더십’ 강조 ..이 후보는 연말까지 .."
