Address,DATE,company,editor,title,classification1,classification2,contents
http://www.bigkinds.or.kr/news/newsDetailView.do newsId=02100501.20200812181530001,20200812,파이낸셜뉴스,조지민,장마에 코로나 이중고… 호객소리 멈춘 시장엔 적막만 흘러 [현장르포],사회>사건_사고,,상인들 ..상점들 휴가기간이지만 .. ..확진자 때문에 손님 더 없어 한숨 .. ..외곽에 자리한 일부 가게만 오픈 .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. 남대문 시장 중앙상가에서 코로나19 확진자가 발생한 가운데 서울 중구 중앙상가 앞에서 시민들이 발걸음을 옮기고 있다... 서울시는 이..
http://www.bigkinds.or.kr/news/newsDetailView.do newsId=02100101.20200812144247001,20200812,매일경제,,"이만희 총회장 측, 법원에 구속적부심 청구…내일 심사",사회>사건_사고,,정부의 코로나19 방역 활동을 방해한 혐의로 구속된 이만희(89) 신천지예수교증거막성전(신천지) 총회장 측이 12일 구속이 합당한지 다시 판단해달라고 수원지법에 구속적부심사를 청구했다. ..구속적부심은 구속된 피의자가 구속의 적법성과 필요성 등을 다투며 법원에 재차 판단을 구하는 절차다. ..이 총회장에 대한 구속적부심은 13일 오전 수원지법 형사11부..
http://www.bigkinds.or.kr/news/newsDetailView.do newsId=01100501.20200812120004006,20200812,문화일보,권도경,‘檢 리스크’ 시달리는 삼성…“다른 기업이면 이미 망해”,사회>사건_사고,,"‘이재용 기소여부’ 48일째 표류 .. ..李부회장, 악재에도 현장 경영 .. .. .. ..재계 ..“수사심의委 권고 수용해 .. ..경영 불확실성 없애줘야” 비판 .. .. .. ..이재용 삼성전자 부회장의 경영권 불법 승계 의혹 수사에 대한 검찰 결론이 48일째 표류하면서 재계에서는 ..‘포스트 코로나 시대에 대비해야 하는 기업의 경영 불확실성만 .."
http://www.bigkinds.or.kr/news/newsDetailView.do newsId=01500401.20200812222104001,20200812,국제신문,임동우 기자 guardian@kookje.co.kr,미스터트롯 콘서트 표 사기 피해 속출,사회>사건_사고,,중고 거래 사이트에서 올라온 콘서트 표 판매 글에 속았다는 피해자가 속출해 경찰이 수사에 나섰다. .. ..부산 북부경찰서는 미스터트롯 콘서트 피해자 모임으로부터 집단 사기를 당했다는 내용의 고소장을 접수했다고 11일 밝혔다... 이날 접수된 피해 건수는 모두 5건으로 피해액은 270만 원 상당이다... 고소장 내용을 종합하면 피의자 A 씨는 지난 2월..
http://www.bigkinds.or.kr/news/newsDetailView.do newsId=02100201.20200813210130001,20200813,머니투데이,이원광|기자|,이만희 '구속적부심' 기각…法 구속 계속 필요,사회>사건_사고,,[머니투데이 이원광 기자] 이만희 신천지예수교 증거장막성전(신천지) 총회장이 지난 3월2일 오후 경기도 가평군에 위치한 연수원 평화의 궁전에서 기자회견을 열고 공식입장을 발표했다... 이만희 총회장은 이날 기자회견에서 코로나19 확산 사태에 대해 두 차례 무릎을 꿇고 큰절을 하며 사과했다.회견을 마친 뒤 이어진 질의응답에서 ..'영생불사한다고 생각하느냐..
http://www.bigkinds.or.kr/news/newsDetailView.do newsId=02100601.20200813103352001,20200813,한국경제,양길성(vertigo@hankyung.com);,코로나 자가격리 어긴 유럽파 축구선수 벌금 700만원,사회>사건_사고,,신종 코로나바이러스 감염증(코로나19) 자가격리 조치를 수차례 위반한 혐의로 재판에 넘겨진 유럽 프로축구리그 선수 A씨가 1심에서 벌금 700만원을 선고 받았다... .. .. .. .. 서울서부지방법원 형사7단독 유창훈 판사는 13일 감염병 예방 및 관리에 관한 법률 위반 혐의로 기소한 A씨에게 이같이 선고했다... 그는 오스트리아 레기오날리가(프로축..
http://www.bigkinds.or.kr/news/newsDetailView.do newsId=01100201.20200813164149001,20200813,국민일보,서승진,코로나19 역학조사 동선 숨긴 50대 무죄,사회>사건_사고,,신종 코로나바이러스감염증(코로나19) 역학조사에서 일부 동선을 숨긴 혐의로 재판에 넘겨진 50대가 무죄를 선고받았다... .. .. .. ..춘천지법 원주지원 형사1단독 오승준 판사는 13일 감염병의 예방 및 관리에 관한 법률 위반 혐의로 기소된 A씨(56)에게 무죄를 선고했다... .. .. .. ..지난 3월 코로나19 확진 판정을 받은 A씨는 보건..
http://www.bigkinds.or.kr/news/newsDetailView.do newsId=08100401.20200813165603001,20200813,YTN,안윤학,다크웹' 이용 마약사범 395명 검거...전문수사팀 꾸려 수사 강화,사회>사건_사고,,[앵커] ..특수 브라우저를 이용해야 접속할 수 있는 온라인상 어둠의 공간 ..'다크웹'이 마약 거래 온상이 되고 있습니다. .. ..다크웹에서 마약류를 팔다 검거된 피의자가 올해만 400명 가까이 이르자 경찰이 전담수사팀을 꾸려 단속을 강화하기로 했습니다. .. ..안윤학 기자의 보도입니다. .. ..[기자] ..경기도 고양시 주택. .. ..붉은 조..
http://www.bigkinds.or.kr/news/newsDetailView.do newsId=08100401.20200813141604001,20200813,YTN,손효정,신천지 이만희 총회장 심문 종료...이르면 오늘 오후 결과 발표,사회>사건_사고,,"코로나19 방역 활동을 방해한 혐의 등으로 구속된 신천지 이만희 총회장이 청구한 구속 적부심사 심문이 종료됐습니다. .. ..수원지방법원은 오늘(13일) 오전 10시부터 감염병예방법 위반과 횡령, 업무방해 혐의 등을 받는 이 총회장에 대한 구속 적부심사를 열고, 피의자 심문 과정을 3시간 반 넘게 진행했습니다. .. ..구속적부심은 구속된 피의자가 구속.."
http://www.bigkinds.or.kr/news/newsDetailView.do newsId=08100401.20200813232003001,20200813,YTN,안윤학,다크웹' 이용 마약사범 395명 검거...전문수사팀 꾸려 수사 강화,사회>사건_사고,,[앵커] ..특수 브라우저를 이용해야 접속할 수 있는 온라인상 어둠의 공간 ..'다크웹'이 마약 거래 온상이 되고 있습니다. .. ..다크웹에서 마약류를 팔다 검거된 피의자가 올해만 400명 가까이 이르자 경찰이 전담수사팀을 꾸려 단속을 강화하기로 했습니다. .. ..안윤학 기자의 보도입니다. .. ..[기자] ..경기도 고양시 주택. .. ..붉은 조..
